timestamp,user_id,flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_body,ACCy_body,ACCz_body,ACCx_world,ACCy_world,ACCz_world
1621497930.1021621,024,-26.0,16.0,38.0,20.0,-63.0,0.796448,0.107788,-0.594666,0.020142,-0.015267,-0.015267,-0.022901,9.148023,1.67959,2.502637,-0.177051,0.230884,-0.137573,0.040674,0.269165,-0.171069
1621497930.112018,024,-26.0,15.0,37.0,20.0,-60.0,0.796387,0.107788,-0.594788,0.019714,-0.022901,-0.015267,-0.007634,9.173144,1.703516,2.502637,-0.151929,0.250024,-0.135181,0.043066,0.284717,-0.143555
1621497930.1221185,024,-26.0,15.0,39.0,16.0,-61.0,0.796326,0.107605,-0.594849,0.01947,-0.022901,-0.007634,-0.007634,9.198267,1.661646,2.497852,-0.126807,0.208154,-0.13877,0.059814,0.24165,-0.126807
1621497930.1320183,024,-25.0,16.0,37.0,19.0,-63.0,0.796326,0.107605,-0.59491,0.019348,-0.007634,0.0,-0.007634,9.205444,1.609009,2.483496,-0.119629,0.154321,-0.151929,0.08374,0.191406,-0.131592
1621497930.1421442,024,-26.0,17.0,37.0,18.0,-63.0,0.796326,0.107849,-0.594849,0.019287,0.007634,0.0,-0.015267,9.195874,1.583887,2.481103,-0.129199,0.124414,-0.154321,0.087329,0.163892,-0.144751
1621497930.1522527,024,-27.0,15.0,36.0,19.0,-61.0,0.796326,0.108276,-0.594727,0.019226,0.015267,0.0,-0.022901,9.179126,1.58269,2.481103,-0.143555,0.11604,-0.155518,0.086133,0.156714,-0.160303
1621497930.1621392,024,-27.0,14.0,35.0,16.0,-60.0,0.796326,0.108765,-0.594666,0.019165,0.015267,0.0,-0.015267,9.176733,1.613794,2.499048,-0.144751,0.13877,-0.137573,0.0646,0.175854,-0.153125
1621497930.1719902,024,-26.0,17.0,38.0,20.0,-63.0,0.796326,0.10907,-0.594604,0.019165,0.007634,0.0,-0.015267,9.191089,1.629346,2.508618,-0.130396,0.149536,-0.128003,0.058618,0.183032,-0.135181
1621497930.1820688,024,-27.0,16.0,37.0,18.0,-59.0,0.796326,0.109314,-0.594604,0.019165,0.007634,0.0,-0.007634,9.217407,1.617383,2.515796,-0.104077,0.133984,-0.119629,0.059814,0.163892,-0.110059
1621497930.1920266,024,-27.0,16.0,37.0,18.0,-63.0,0.796326,0.109436,-0.594543,0.019287,0.007634,0.007634,0.0,9.237744,1.580298,2.515796,-0.082544,0.096899,-0.120825,0.07417,0.12561,-0.095703
1621497930.2020705,024,-26.0,15.0,40.0,16.0,-65.0,0.796387,0.10968,-0.594421,0.01947,0.015267,0.007634,0.0,9.213819,1.571924,2.52417,-0.105273,0.086133,-0.113647,0.062207,0.11604,-0.117236
1621497930.2121537,024,-31.0,16.0,37.0,18.0,-63.0,0.796448,0.109924,-0.594299,0.019653,0.015267,0.007634,0.0,9.182714,1.575513,2.542114,-0.136377,0.087329,-0.098096,0.038281,0.117236,-0.142358
1621497930.2219133,024,-26.0,19.0,38.0,20.0,-64.0,0.796509,0.110107,-0.594177,0.019775,0.007634,0.0,0.0,9.182714,1.576709,2.552881,-0.135181,0.087329,-0.088525,0.028711,0.11604,-0.13877
1621497930.2320397,024,-27.0,17.0,36.0,16.0,-63.0,0.796509,0.110107,-0.594116,0.019836,0.0,0.0,0.0,9.193481,1.559961,2.56604,-0.124414,0.071777,-0.076563,0.023926,0.096899,-0.128003
1621497930.2419593,024,-27.0,13.0,37.0,19.0,-60.0,0.79657,0.110046,-0.594116,0.019958,-0.007634,0.0,0.007634,9.201856,1.513306,2.567236,-0.11604,0.027515,-0.076563,0.033496,0.052637,-0.126807
1621497930.2514403,024,-28.0,15.0,38.0,19.0,-65.0,0.796631,0.109924,-0.594055,0.020081,0.0,0.0,0.007634,9.200659,1.451099,2.548096,-0.117236,-0.031104,-0.098096,0.062207,0.0,-0.142358
1621497930.2620435,024,-28.0,15.0,38.0,18.0,-61.0,0.796631,0.109863,-0.594055,0.020264,0.0,0.0,0.0,9.189893,1.425977,2.542114,-0.129199,-0.052637,-0.104077,0.068188,-0.016748,-0.15791
1621497930.2721925,024,-27.0,15.0,37.0,16.0,-60.0,0.796631,0.109863,-0.594055,0.020325,0.0,0.0,0.0,9.17793,1.418799,2.548096,-0.141162,-0.059814,-0.098096,0.059814,-0.023926,-0.168677
1621497930.2820811,024,-28.0,15.0,37.0,16.0,-59.0,0.79657,0.109863,-0.594055,0.020386,0.0,-0.007634,-0.007634,9.188696,1.394873,2.554077,-0.129199,-0.082544,-0.090918,0.061011,-0.049048,-0.159106
1621497930.2921777,024,-26.0,16.0,37.0,19.0,-60.0,0.79657,0.109863,-0.594116,0.020447,0.0,-0.007634,0.0,9.232959,1.367358,2.558862,-0.086133,-0.108862,-0.086133,0.072974,-0.080151,-0.120825
1621497930.3021328,024,-29.0,13.0,36.0,15.0,-65.0,0.79657,0.109863,-0.594116,0.020569,0.007634,0.0,0.0,9.262866,1.349414,2.569629,-0.056226,-0.12561,-0.075366,0.07417,-0.101685,-0.092114
1621497930.3120103,024,-26.0,16.0,37.0,14.0,-64.0,0.79657,0.109863,-0.594116,0.020813,0.007634,0.0,0.0,9.259277,1.375732,2.582788,-0.061011,-0.096899,-0.062207,0.056226,-0.075366,-0.088525
1621497930.3221874,024,-29.0,16.0,40.0,19.0,-75.0,0.79657,0.109863,-0.594055,0.020935,-0.007634,0.0,0.007634,9.249707,1.419995,2.600732,-0.069385,-0.05144,-0.044263,0.028711,-0.033496,-0.084937
1621497930.3319883,024,-27.0,13.0,38.0,16.0,-63.0,0.796631,0.109619,-0.594116,0.020996,-0.015267,-0.007634,0.007634,9.240137,1.422388,2.604321,-0.081348,-0.044263,-0.04187,0.022729,-0.026318,-0.094507
1621497930.3421524,024,-28.0,14.0,37.0,16.0,-63.0,0.79657,0.109314,-0.594177,0.021057,-0.015267,-0.007634,0.007634,9.240137,1.362573,2.592358,-0.081348,-0.098096,-0.052637,0.040674,-0.076563,-0.105273
1621497930.351997,024,-28.0,14.0,36.0,18.0,-66.0,0.796509,0.10907,-0.594299,0.021179,-0.007634,-0.007634,0.007634,9.243726,1.2896,2.572021,-0.078955,-0.166284,-0.071777,0.070581,-0.139966,-0.118433
1621497930.361419,024,-30.0,14.0,36.0,15.0,-64.0,0.796448,0.10907,-0.59436,0.021423,0.015267,-0.007634,0.0,9.23894,1.254907,2.554077,-0.084937,-0.197388,-0.087329,0.089722,-0.166284,-0.132788
1621497930.3714275,024,-26.0,14.0,38.0,15.0,-60.0,0.796387,0.109314,-0.594421,0.021606,0.015267,-0.007634,-0.007634,9.220996,1.306348,2.554077,-0.102881,-0.147144,-0.086133,0.07417,-0.11604,-0.142358
1621497930.3813374,024,-28.0,16.0,37.0,14.0,-62.0,0.796326,0.109619,-0.594421,0.021606,0.007634,-0.007634,-0.015267,9.195874,1.380518,2.56604,-0.128003,-0.077759,-0.071777,0.04187,-0.049048,-0.151929
1621497930.3913558,024,-28.0,17.0,38.0,18.0,-59.0,0.796265,0.109741,-0.594482,0.021545,0.0,-0.015267,-0.007634,9.179126,1.416406,2.562451,-0.144751,-0.044263,-0.07417,0.034692,-0.014355,-0.163892
1621497930.402192,024,-27.0,16.0,35.0,18.0,-63.0,0.796143,0.10968,-0.594666,0.021545,-0.007634,-0.015267,0.0,9.181519,1.421191,2.546899,-0.143555,-0.038281,-0.084937,0.044263,-0.005981,-0.165088
1621497930.412118,024,-27.0,15.0,36.0,14.0,-57.0,0.796021,0.109619,-0.594849,0.021667,0.0,-0.015267,0.007634,9.193481,1.411621,2.52417,-0.132788,-0.045459,-0.104077,0.065796,-0.00957,-0.160303
1621497930.42137,024,-26.0,15.0,38.0,15.0,-59.0,0.795837,0.10968,-0.595032,0.021912,0.007634,-0.015267,0.007634,9.211426,1.402051,2.5146,-0.11604,-0.052637,-0.108862,0.076563,-0.017944,-0.147144
1621497930.4315152,024,-29.0,15.0,38.0,16.0,-64.0,0.795715,0.109741,-0.595215,0.022156,0.007634,-0.007634,0.007634,9.209033,1.428369,2.511011,-0.120825,-0.023926,-0.107666,0.069385,0.00957,-0.147144
1621497930.4412441,024,-29.0,16.0,37.0,16.0,-60.0,0.795654,0.109802,-0.595276,0.022339,0.0,-0.007634,0.007634,9.1875,1.454687,2.501441,-0.143555,0.002393,-0.11604,0.066992,0.038281,-0.166284
1621497930.4512367,024,-27.0,15.0,37.0,19.0,-63.0,0.795593,0.109802,-0.595398,0.022461,0.0,-0.007634,0.007634,9.175537,1.44751,2.479907,-0.156714,-0.002393,-0.135181,0.081348,0.039478,-0.185425
1621497930.4613035,024,-27.0,18.0,38.0,20.0,-62.0,0.795471,0.10968,-0.59552,0.022705,0.0,-0.007634,0.007634,9.162378,1.414014,2.452393,-0.171069,-0.029907,-0.160303,0.10647,0.019141,-0.209351
1621497930.4714146,024,-42.0,15.0,36.0,19.0,-61.0,0.79541,0.10968,-0.595581,0.02301,0.007634,-0.007634,0.007634,9.154004,1.368555,2.434448,-0.179443,-0.071777,-0.175854,0.12561,-0.016748,-0.227295
1621497930.4812539,024,-27.0,15.0,37.0,16.0,-63.0,0.795349,0.109863,-0.595642,0.023315,0.015267,0.0,0.0,9.139648,1.370947,2.428467,-0.194995,-0.069385,-0.18064,0.124414,-0.011963,-0.244043
1621497930.491305,024,-26.0,17.0,36.0,20.0,-61.0,0.795349,0.110168,-0.595581,0.023499,0.015267,0.0,0.0,9.133667,1.404443,2.444019,-0.200977,-0.038281,-0.165088,0.102881,0.014355,-0.240454
1621497930.5015757,024,-26.0,17.0,36.0,20.0,-61.0,0.795349,0.110291,-0.59552,0.023621,0.007634,0.0,0.0,9.125293,1.421191,2.457178,-0.208154,-0.021533,-0.151929,0.086133,0.028711,-0.24165
1621497930.5111847,024,-26.0,16.0,36.0,20.0,-59.0,0.79541,0.110352,-0.595459,0.023804,0.0,0.0,0.007634,9.114527,1.422388,2.471533,-0.220117,-0.019141,-0.139966,0.070581,0.029907,-0.248828
1621497930.521327,024,-27.0,16.0,36.0,16.0,-57.0,0.79541,0.110291,-0.595459,0.024048,0.0,0.0,0.007634,9.110937,1.393677,2.489478,-0.223706,-0.044263,-0.122021,0.057422,0.002393,-0.251221
1621497930.5312343,024,-26.0,19.0,38.0,16.0,-65.0,0.79541,0.110291,-0.595398,0.024353,0.007634,0.0,0.007634,9.106153,1.367358,2.511011,-0.228491,-0.066992,-0.101685,0.040674,-0.022729,-0.253613
1621497930.54135,024,-27.0,15.0,38.0,14.0,-63.0,0.795471,0.110413,-0.595276,0.024597,0.015267,0.007634,0.0,9.077441,1.370947,2.548096,-0.256006,-0.063403,-0.065796,-0.001196,-0.023926,-0.270361
1621497930.551347,024,-29.0,15.0,38.0,60.0,-63.0,0.795593,0.110596,-0.595154,0.02478,0.007634,0.0,0.0,9.063086,1.379321,2.580395,-0.270361,-0.055029,-0.037085,-0.033496,-0.020337,-0.275146
1621497930.5613177,024,-27.0,14.0,40.0,16.0,-63.0,0.795593,0.110596,-0.595093,0.024963,0.0,-0.007634,0.0,9.076245,1.370947,2.589966,-0.257202,-0.062207,-0.028711,-0.035889,-0.029907,-0.260791
1621497930.5714712,024,-27.0,14.0,35.0,18.0,-60.0,0.795593,0.110596,-0.595154,0.025085,0.0,-0.007634,0.0,9.109741,1.339844,2.592358,-0.224902,-0.092114,-0.025122,-0.025122,-0.063403,-0.233276
1621497930.581282,024,-26.0,13.0,37.0,19.0,-63.0,0.795532,0.110596,-0.595154,0.02533,0.007634,0.0,0.0,9.12649,1.296777,2.599536,-0.208154,-0.131592,-0.016748,-0.021533,-0.105273,-0.221313
1621497930.5912461,024,-26.0,21.0,36.0,16.0,-61.0,0.795593,0.110718,-0.595093,0.025513,0.007634,0.0,0.0,9.114527,1.287207,2.619873,-0.220117,-0.141162,0.0,-0.039478,-0.117236,-0.229687
1621497930.6011457,024,-26.0,18.0,37.0,19.0,-60.0,0.795593,0.11084,-0.595093,0.025635,0.007634,-0.007634,-0.007634,9.091797,1.301563,2.639014,-0.242847,-0.126807,0.020337,-0.066992,-0.105273,-0.244043
1621497930.6113079,024,-28.0,15.0,38.0,24.0,-59.0,0.795532,0.110962,-0.595154,0.025696,0.0,-0.015267,0.0,9.095386,1.31831,2.653369,-0.239258,-0.111255,0.035889,-0.08374,-0.093311,-0.234473
1621497930.6214042,024,-27.0,19.0,38.0,15.0,-64.0,0.79541,0.110901,-0.595276,0.025696,-0.007634,-0.015267,0.0,9.106153,1.303955,2.643799,-0.229687,-0.124414,0.029907,-0.072974,-0.105273,-0.228491
1621497930.6313663,024,-26.0,17.0,39.0,18.0,-63.0,0.795288,0.11084,-0.595398,0.025757,0.0,-0.015267,-0.007634,9.118115,1.268066,2.618677,-0.217725,-0.15791,0.007178,-0.04187,-0.135181,-0.228491
1621497930.6413093,024,-27.0,17.0,38.0,14.0,-52.0,0.795227,0.110962,-0.59552,0.025818,0.007634,-0.007634,-0.007634,9.137256,1.244141,2.601929,-0.19978,-0.183032,-0.004785,-0.021533,-0.15791,-0.217725
1621497930.651322,024,-26.0,17.0,37.0,16.0,-58.0,0.795166,0.111206,-0.59552,0.02594,0.015267,-0.007634,-0.015267,9.144434,1.252515,2.550488,-0.192603,-0.177051,-0.055029,0.026318,-0.142358,-0.223706
1621497930.6613903,024,-27.0,16.0,38.0,18.0,-60.0,0.795166,0.111572,-0.59552,0.025879,0.007634,0.0,-0.015267,9.140844,1.301563,2.562451,-0.196191,-0.135181,-0.04187,0.005981,-0.104077,-0.217725
1621497930.6712382,024,-26.0,12.0,36.0,19.0,-61.0,0.795105,0.111877,-0.595459,0.025757,0.007634,-0.007634,-0.022901,9.165967,1.330273,2.567236,-0.169873,-0.112451,-0.037085,0.004785,-0.084937,-0.187817
1621497930.6812966,024,-26.0,16.0,38.0,20.0,-57.0,0.795105,0.112061,-0.595459,0.025696,0.007634,0.0,-0.015267,9.188696,1.335059,2.549292,-0.147144,-0.111255,-0.053833,0.026318,-0.082544,-0.169873
1621497930.69127,024,-28.0,17.0,40.0,19.0,-61.0,0.795105,0.112244,-0.595398,0.025757,0.007634,0.0,-0.007634,9.211426,1.339844,2.542114,-0.123218,-0.107666,-0.062207,0.040674,-0.080151,-0.149536
1621497930.701192,024,-26.0,17.0,40.0,19.0,-64.0,0.795105,0.112488,-0.595337,0.025879,0.015267,0.007634,-0.007634,9.220996,1.354199,2.551685,-0.113647,-0.095703,-0.052637,0.0323,-0.070581,-0.136377
1621497930.711205,024,-26.0,16.0,37.0,16.0,-59.0,0.795166,0.112671,-0.595215,0.02594,0.007634,0.0,-0.007634,9.21023,1.398462,2.570825,-0.123218,-0.053833,-0.034692,0.005981,-0.033496,-0.133984
1621497930.7214305,024,-27.0,15.0,38.0,16.0,-64.0,0.795227,0.112732,-0.595154,0.025879,-0.007634,0.0,0.0,9.199463,1.443921,2.600732,-0.133984,-0.010767,-0.007178,-0.029907,0.002393,-0.130396
