timestamp,user_id,flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_body,ACCy_body,ACCz_body,ACCx_world,ACCy_world,ACCz_world
1616396781.8033886,004,87.0,65.0,80.0,63.0,-3.0,0.614502,-0.180603,-0.767883,-0.011597,0.022901,-0.007634,-0.007634,8.875269,-2.014551,-2.490674,-0.413916,-0.013159,-0.093311,0.15791,-0.143555,-0.366064
1616396781.8129365,004,80.0,65.0,81.0,72.0,-6.0,0.614563,-0.180359,-0.767883,-0.011414,0.015267,0.007634,-0.007634,8.938672,-1.979858,-2.494263,-0.350513,0.020337,-0.099292,0.161499,-0.096899,-0.311035
1616396781.823019,004,73.0,70.0,76.0,70.0,1.0,0.614807,-0.180237,-0.767761,-0.011292,0.007634,0.015267,0.0,8.935083,-1.978662,-2.483496,-0.356494,0.022729,-0.093311,0.15791,-0.094507,-0.319409
1616396781.8330078,004,81.0,67.0,79.0,64.0,-2.0,0.614929,-0.180237,-0.767639,-0.011047,0.007634,0.007634,0.007634,8.908765,-1.990625,-2.469141,-0.381616,0.014355,-0.082544,0.149536,-0.10647,-0.344531
1616396781.842846,004,76.0,64.0,83.0,70.0,-1.0,0.615051,-0.180237,-0.767517,-0.010803,0.007634,0.007634,0.007634,8.866895,-1.951147,-2.439233,-0.423486,0.058618,-0.056226,0.144751,-0.069385,-0.399561
1616396781.8527985,004,77.0,64.0,70.0,68.0,-7.0,0.615051,-0.180298,-0.767517,-0.010742,-0.007634,-0.007634,0.0,8.833399,-1.935596,-2.393775,-0.456982,0.075366,-0.00957,0.111255,-0.05144,-0.446216
1616396781.8631341,004,87.0,68.0,84.0,72.0,1.0,0.61499,-0.180298,-0.767578,-0.010742,0.0,-0.007634,-0.007634,8.823828,-2.016943,-2.356689,-0.465356,-0.004785,0.027515,0.055029,-0.119629,-0.446216
1616396781.8733513,004,79.0,69.0,81.0,69.0,-3.0,0.614929,-0.180237,-0.7677,-0.010498,0.007634,-0.015267,-0.007634,8.823828,-2.071973,-2.310034,-0.465356,-0.057422,0.076563,-0.004785,-0.15791,-0.447412
1616396781.8829901,004,83.0,68.0,82.0,71.0,-1.0,0.614807,-0.179993,-0.767822,-0.010254,0.015267,-0.022901,-0.015267,8.845362,-2.063599,-2.252612,-0.442627,-0.047852,0.136377,-0.062207,-0.128003,-0.442627
1616396781.8933394,004,76.0,60.0,80.0,69.0,-5.0,0.614746,-0.179749,-0.767944,-0.010071,0.007634,-0.022901,-0.007634,8.866895,-2.039673,-2.220313,-0.421094,-0.025122,0.171069,-0.092114,-0.093311,-0.435449
