timestamp,user_id,flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_body,ACCy_body,ACCz_body,ACCx_world,ACCy_world,ACCz_world
1621261121.5649054,017,28.0,26.0,49.0,38.0,-38.0,0.725769,0.047974,-0.686218,0.003784,0.0,0.007634,-0.007634,9.521265,0.564648,0.437842,-0.242847,-0.065796,-0.086133,0.075366,-0.044263,-0.250024
1621261121.5749333,017,27.0,26.0,48.0,39.0,-38.0,0.72583,0.048096,-0.686218,0.003784,0.0,0.0,-0.007634,9.522461,0.57063,0.443823,-0.242847,-0.062207,-0.081348,0.070581,-0.040674,-0.250024
1621261121.5846152,017,31.0,26.0,52.0,40.0,-36.0,0.725769,0.048157,-0.686218,0.003845,0.0,-0.007634,-0.007634,9.533228,0.581396,0.443823,-0.230884,-0.05144,-0.080151,0.069385,-0.031104,-0.236865
1621261121.5948725,017,29.0,26.0,48.0,39.0,-38.0,0.725769,0.048279,-0.686218,0.003967,0.007634,-0.007634,-0.007634,9.542798,0.581396,0.434253,-0.221313,-0.05144,-0.089722,0.080151,-0.029907,-0.228491
1621261121.6046185,017,26.0,26.0,49.0,40.0,-38.0,0.725708,0.048462,-0.686279,0.004089,0.007634,-0.007634,0.0,9.554761,0.620874,0.440234,-0.210547,-0.013159,-0.081348,0.069385,0.004785,-0.214136
1621261121.6149879,017,27.0,26.0,54.0,39.0,-37.0,0.725647,0.048584,-0.68634,0.004089,0.0,-0.007634,0.0,9.561938,0.711792,0.458179,-0.203369,0.075366,-0.062207,0.044263,0.090918,-0.200977
1621261121.6248913,017,27.0,26.0,50.0,39.0,-39.0,0.725647,0.048584,-0.68634,0.003967,-0.015267,-0.007634,0.0,9.563135,0.740503,0.45459,-0.202173,0.101685,-0.065796,0.045459,0.118433,-0.197388
1621261121.6345904,017,29.0,27.0,50.0,39.0,-38.0,0.725586,0.048401,-0.686401,0.003845,-0.015267,-0.007634,0.0,9.565527,0.68667,0.419897,-0.198584,0.049048,-0.099292,0.08374,0.068188,-0.19978
1621261121.64499,017,28.0,26.0,49.0,40.0,-37.0,0.725525,0.048218,-0.686462,0.003967,-0.007634,-0.007634,0.007634,9.547583,0.626855,0.378027,-0.217725,-0.004785,-0.13877,0.12561,0.017944,-0.223706
1621261121.6547527,017,27.0,26.0,51.0,39.0,-38.0,0.725464,0.048157,-0.686523,0.004089,0.0,-0.007634,0.0,9.524854,0.614893,0.361279,-0.240454,-0.014355,-0.154321,0.139966,0.010767,-0.247632
