timestamp,user_id,flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_body,ACCy_body,ACCz_body,ACCx_world,ACCy_world,ACCz_world
1621400186.1911209,019,25.0,30.0,42.0,25.0,23.0,0.661682,-0.038879,-0.748596,-0.015625,-0.015267,-0.022901,-0.007634,9.241333,-0.33855,-1.388892,-0.478516,-0.063403,-0.174658,0.224902,-0.093311,-0.451001
1621400186.2011425,019,25.0,32.0,42.0,26.0,23.0,0.661377,-0.03894,-0.748901,-0.015747,-0.015267,-0.022901,-0.007634,9.29038,-0.326587,-1.369751,-0.429468,-0.052637,-0.147144,0.193799,-0.078955,-0.405542
1621400186.2109559,019,23.0,31.0,40.0,25.0,26.0,0.661194,-0.03894,-0.749084,-0.01593,-0.007634,-0.015267,-0.015267,9.408813,-0.300269,-1.347021,-0.309839,-0.028711,-0.119629,0.153125,-0.049048,-0.290698
1621400186.2212768,019,25.0,29.0,42.0,25.0,24.0,0.661133,-0.038879,-0.749084,-0.016052,-0.007634,0.0,-0.007634,9.472217,-0.246436,-1.342236,-0.246436,0.021533,-0.113647,0.143555,0.003589,-0.229687
1621400186.2309737,019,26.0,30.0,42.0,26.0,24.0,0.661194,-0.038818,-0.749084,-0.016296,-0.015267,0.0,-0.007634,9.481787,-0.183032,-1.330273,-0.238062,0.080151,-0.102881,0.136377,0.062207,-0.224902
1621400186.2409236,019,24.0,31.0,42.0,25.0,24.0,0.661194,-0.038879,-0.749023,-0.016479,-0.015267,0.0,0.0,9.460254,-0.147144,-1.329077,-0.258398,0.113647,-0.102881,0.142358,0.095703,-0.246436
1621400186.2509654,019,25.0,31.0,38.0,25.0,23.0,0.661133,-0.039001,-0.749084,-0.016663,-0.015267,-0.007634,0.0,9.441113,-0.137573,-1.335059,-0.277539,0.122021,-0.10647,0.14834,0.102881,-0.26438
1621400186.2608924,019,25.0,31.0,41.0,25.0,26.0,0.661011,-0.039062,-0.749146,-0.016663,-0.007634,-0.007634,0.0,9.400439,-0.15791,-1.356592,-0.317017,0.102881,-0.12561,0.171069,0.080151,-0.300269
1621400186.270888,019,23.0,32.0,41.0,25.0,24.0,0.660828,-0.039062,-0.749329,-0.016541,0.007634,-0.015267,0.0,9.363355,-0.168677,-1.358984,-0.354102,0.093311,-0.123218,0.172266,0.069385,-0.337354
1621400186.280953,019,20.0,31.0,41.0,25.0,25.0,0.660583,-0.03894,-0.749573,-0.016418,0.007634,-0.022901,0.0,9.37771,-0.171069,-1.360181,-0.339746,0.090918,-0.117236,0.165088,0.068188,-0.324194
1621400186.290896,019,25.0,31.0,38.0,25.0,22.0,0.660339,-0.038818,-0.749817,-0.016235,0.015267,-0.015267,0.0,9.450684,-0.174658,-1.360181,-0.265576,0.088525,-0.111255,0.149536,0.069385,-0.251221
1621400186.3010027,019,25.0,31.0,41.0,25.0,25.0,0.660278,-0.038635,-0.749878,-0.015991,0.007634,0.0,0.0,9.491358,-0.168677,-1.369751,-0.224902,0.095703,-0.118433,0.151929,0.077759,-0.209351
1621400186.3109524,019,25.0,31.0,41.0,25.0,24.0,0.660278,-0.038574,-0.749878,-0.015869,0.007634,0.0,0.0,9.439917,-0.175854,-1.393677,-0.276343,0.089722,-0.142358,0.181836,0.068188,-0.257202
1621400186.3208838,019,24.0,31.0,41.0,25.0,24.0,0.660156,-0.038635,-0.749939,-0.015686,0.0,-0.007634,0.007634,9.396851,-0.214136,-1.404443,-0.318213,0.055029,-0.150732,0.192603,0.031104,-0.29668
1621400186.330902,019,24.0,32.0,38.0,25.0,26.0,0.660095,-0.038635,-0.750061,-0.015503,0.007634,-0.007634,0.0,9.37771,-0.266772,-1.425977,-0.337354,0.004785,-0.169873,0.210547,-0.020337,-0.312231
1621400186.3409069,019,24.0,29.0,42.0,25.0,25.0,0.659912,-0.038635,-0.750183,-0.015259,0.007634,-0.007634,0.0,9.350195,-0.320605,-1.455884,-0.363672,-0.044263,-0.194995,0.234473,-0.071777,-0.333765
1621400186.3510175,019,25.0,30.0,38.0,25.0,23.0,0.65979,-0.038513,-0.750366,-0.015015,0.015267,-0.015267,-0.007634,9.343018,-0.354102,-1.46665,-0.37085,-0.076563,-0.202173,0.240454,-0.104077,-0.33855
1621400186.3610091,019,24.0,32.0,36.0,25.0,24.0,0.659607,-0.03833,-0.750488,-0.014832,0.007634,-0.007634,-0.007634,9.360962,-0.372046,-1.45708,-0.351709,-0.094507,-0.187817,0.22251,-0.120825,-0.320605
1621400186.3710926,019,24.0,30.0,37.0,24.0,23.0,0.659546,-0.038208,-0.750549,-0.014648,0.007634,-0.007634,-0.007634,9.382495,-0.372046,-1.434351,-0.330176,-0.093311,-0.163892,0.196191,-0.117236,-0.302661
1621400186.380962,019,23.0,29.0,42.0,25.0,26.0,0.659546,-0.038147,-0.750549,-0.014526,0.0,0.0,0.0,9.411206,-0.349316,-1.410425,-0.301465,-0.069385,-0.139966,0.171069,-0.089722,-0.277539
1621400186.3910615,019,26.0,32.0,42.0,25.0,26.0,0.659607,-0.038208,-0.750488,-0.014587,-0.007634,0.007634,0.0,9.410009,-0.33855,-1.385303,-0.302661,-0.058618,-0.11604,0.14834,-0.077759,-0.282324
1621400186.4009204,019,27.0,30.0,40.0,25.0,24.0,0.659729,-0.038391,-0.750427,-0.014648,-0.015267,0.007634,0.0,9.366943,-0.328979,-1.369751,-0.346924,-0.047852,-0.102881,0.141162,-0.068188,-0.328979
1621400186.4108977,019,24.0,31.0,41.0,25.0,25.0,0.659729,-0.038574,-0.750427,-0.014771,-0.015267,0.0,0.0,9.364551,-0.345728,-1.353003,-0.349316,-0.063403,-0.086133,0.124414,-0.082544,-0.332568
1621400186.4210048,019,22.0,31.0,38.0,25.0,21.0,0.659668,-0.038757,-0.750427,-0.014893,-0.015267,0.0,-0.007634,9.368139,-0.363672,-1.343433,-0.345728,-0.081348,-0.076563,0.112451,-0.099292,-0.330176
1621400186.4311476,019,23.0,29.0,38.0,25.0,22.0,0.659668,-0.038879,-0.750427,-0.015015,-0.015267,0.0,-0.007634,9.376513,-0.374438,-1.326685,-0.337354,-0.092114,-0.059814,0.094507,-0.108862,-0.322998
1621400186.4409962,019,25.0,31.0,42.0,25.0,21.0,0.659668,-0.038879,-0.750427,-0.015076,-0.007634,0.0,-0.007634,9.398046,-0.373242,-1.321899,-0.31582,-0.092114,-0.055029,0.086133,-0.107666,-0.302661
1621400186.4510365,019,23.0,33.0,42.0,25.0,24.0,0.659668,-0.038879,-0.750427,-0.015137,-0.007634,0.0,-0.007634,9.418384,-0.362476,-1.313525,-0.295483,-0.081348,-0.046655,0.076563,-0.095703,-0.283521
1621400186.4609323,019,24.0,31.0,40.0,25.0,24.0,0.659729,-0.038818,-0.750366,-0.015198,-0.007634,0.007634,-0.015267,9.473413,-0.349316,-1.296777,-0.240454,-0.070581,-0.031104,0.055029,-0.081348,-0.23208
1621400186.4708855,019,24.0,29.0,42.0,25.0,25.0,0.659851,-0.038696,-0.750244,-0.01532,-0.007634,0.007634,-0.007634,9.482984,-0.324194,-1.286011,-0.230884,-0.047852,-0.023926,0.049048,-0.057422,-0.223706
1621400186.480943,019,27.0,31.0,40.0,25.0,25.0,0.660034,-0.038696,-0.750122,-0.015442,-0.007634,0.007634,-0.007634,9.449488,-0.285913,-1.287207,-0.265576,-0.011963,-0.028711,0.059814,-0.023926,-0.258398
1621400186.4909887,019,24.0,32.0,43.0,25.0,26.0,0.660034,-0.038757,-0.750061,-0.015564,-0.015267,0.0,0.0,9.410009,-0.258398,-1.275244,-0.305054,0.013159,-0.017944,0.056226,0.0,-0.300269
1621400186.5002956,019,25.0,33.0,40.0,26.0,26.0,0.659973,-0.038879,-0.750122,-0.015686,-0.015267,-0.007634,0.0,9.376513,-0.247632,-1.2896,-0.33855,0.023926,-0.031104,0.07417,0.008374,-0.331372
1621400186.5109155,019,26.0,32.0,38.0,25.0,26.0,0.65979,-0.039001,-0.750244,-0.015747,-0.015267,-0.015267,0.0,9.394458,-0.257202,-1.293188,-0.319409,0.015552,-0.029907,0.070581,0.0,-0.312231
1621400186.5210254,019,25.0,30.0,42.0,26.0,25.0,0.659668,-0.039124,-0.750366,-0.015808,-0.007634,-0.015267,0.0,9.413599,-0.284717,-1.323096,-0.300269,-0.010767,-0.056226,0.092114,-0.026318,-0.289502
1621400186.5302787,019,37.0,32.0,40.0,24.0,25.0,0.659546,-0.039124,-0.750488,-0.015808,0.0,-0.007634,-0.007634,9.443506,-0.288306,-1.347021,-0.269165,-0.014355,-0.077759,0.108862,-0.029907,-0.256006
1621400186.5408952,019,27.0,28.0,39.0,25.0,25.0,0.659485,-0.039062,-0.750549,-0.015808,0.0,0.0,-0.007634,9.438721,-0.283521,-1.368555,-0.27395,-0.010767,-0.096899,0.129199,-0.027515,-0.258398
