flex_1,flex_2,flex_3,flex_4,flex_5,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,label
2.23,1.7399999999999998,1.66,3.26,3.05,4664.0,15248.0,4652.0,-7644.0,-5314.0,-2168.0,Z
2.26,1.7399999999999998,1.66,3.26,2.85,4908.0,15064.0,5500.0,-7755.0,-5449.0,-2184.0,Z
2.22,1.68,1.73,3.2400000000000007,3.01,4780.0,14928.0,6216.0,-7512.0,-4462.0,-2027.0,Z
2.25,1.71,1.7000000000000002,3.25,3.0,4452.0,14908.0,6396.0,-7380.0,-4170.0,-2050.0,Z
2.24,1.7000000000000002,1.71,3.25,3.04,4360.0,14692.0,6768.0,-7080.0,-4271.0,-1909.0,Z
2.23,1.73,1.6399999999999997,3.2300000000000004,2.87,4312.0,14400.0,7172.0,-6427.0,-3004.0,-1533.0,Z
2.23,1.71,1.67,3.2400000000000007,3.01,4156.0,14320.0,7540.0,-6067.0,-3009.0,-1412.0,Z
2.25,1.7399999999999998,1.7399999999999998,3.25,3.01,4036.0,14224.0,8128.0,-5542.0,-2248.0,-962.0,Z
2.24,1.71,1.71,3.2400000000000007,2.96,3572.0,14316.0,7904.0,-5303.0,-2529.0,-690.0,Z
2.26,1.7399999999999998,1.73,3.2400000000000007,3.06,3488.0,14064.0,8108.0,-4936.0,-2859.0,-491.0,Z
2.22,1.73,1.66,3.25,3.05,3564.0,13848.0,8020.0,-4426.0,-2680.0,-314.0,Z
2.24,1.71,1.71,3.2099999999999995,3.07,3776.0,13796.0,8244.0,-3938.0,-2550.0,-245.0,Z
2.23,1.7000000000000002,1.7399999999999998,3.2300000000000004,2.86,3996.0,13840.0,8260.0,-3252.0,-2083.0,-59.0,Z
2.26,1.69,1.7399999999999998,3.26,3.06,4116.0,13820.0,8172.0,-2825.0,-1724.0,58.0,Z
2.23,1.73,1.7000000000000002,3.2400000000000007,3.05,4232.0,13744.0,8116.0,-2344.0,-1465.0,112.0,Z
2.22,1.73,1.7399999999999998,3.2199999999999998,3.05,4284.0,13796.0,8108.0,-1771.0,-495.0,387.0,Z
2.25,1.7500000000000002,1.7399999999999998,3.26,3.04,4112.0,13748.0,7916.0,-1452.0,-686.0,486.0,Z
2.28,1.82,1.7399999999999998,3.1300000000000003,3.05,3976.0,13664.0,7892.0,-1306.0,-994.0,652.0,Z
2.22,1.71,1.71,3.2400000000000007,3.05,4128.0,13664.0,7824.0,-1186.0,-1380.0,722.0,Z
2.22,1.66,1.7399999999999998,3.2199999999999998,3.05,4228.0,13388.0,7588.0,-786.0,-924.0,842.0,Z
2.26,1.73,1.6500000000000001,3.25,3.02,4100.0,13336.0,7256.0,-657.0,-1204.0,853.0,Z
2.23,1.7399999999999998,1.7500000000000002,3.2099999999999995,3.04,4416.0,13248.0,7576.0,-540.0,-1424.0,899.0,Z
2.25,1.71,1.73,3.1400000000000006,3.06,4264.0,13128.0,7416.0,-390.0,-1168.0,930.0,Z
2.24,1.69,1.73,3.2400000000000007,3.06,4496.0,12848.0,7492.0,-145.0,-510.0,1050.0,Z
2.2,1.7399999999999998,1.76,3.2400000000000007,3.02,4512.0,12968.0,7380.0,110.0,-396.0,1270.0,Z
2.21,1.7399999999999998,1.7399999999999998,3.25,3.06,4192.0,13000.0,7288.0,300.0,-264.0,1538.0,Z
2.26,1.7000000000000002,1.71,3.25,3.06,4540.0,13160.0,7024.0,567.0,-398.0,1731.0,Z
2.24,1.73,1.71,3.26,3.06,4724.0,13180.0,6972.0,943.0,184.0,2061.0,Z
2.19,1.7399999999999998,1.7399999999999998,3.25,3.05,4728.0,13360.0,6840.0,1186.0,680.0,2279.0,Z
2.23,1.63,1.7500000000000002,3.2400000000000007,3.01,4988.0,13340.0,6716.0,1523.0,1382.0,2498.0,Z
2.29,1.7500000000000002,1.7399999999999998,3.25,3.04,5164.0,13580.0,6464.0,1652.0,1729.0,2707.0,Z
2.22,1.71,1.71,3.2300000000000004,3.05,5340.0,13784.0,6628.0,1637.0,1497.0,2795.0,Z
2.26,1.7399999999999998,1.71,3.26,3.06,5576.0,14076.0,6572.0,1786.0,1689.0,2826.0,Z
2.25,1.73,1.7399999999999998,3.2300000000000004,3.0,5560.0,14264.0,6424.0,1886.0,2186.0,2844.0,Z
2.23,1.7500000000000002,1.7399999999999998,3.2,3.04,5904.0,14088.0,6308.0,1812.0,2138.0,2802.0,Z
2.23,1.7000000000000002,1.7399999999999998,3.2400000000000007,3.04,6108.0,14152.0,5992.0,1863.0,2202.0,2918.0,Z
2.23,1.69,1.71,3.2400000000000007,3.06,6108.0,14264.0,6144.0,1596.0,1786.0,2917.0,Z
2.25,1.7399999999999998,1.71,3.26,3.05,6108.0,14240.0,5972.0,1722.0,1972.0,3007.0,Z
2.24,1.7399999999999998,1.7399999999999998,3.25,3.04,6372.0,14180.0,6016.0,1529.0,1336.0,2865.0,Z
2.28,1.68,1.68,3.2400000000000007,3.05,6388.0,13976.0,6272.0,1836.0,1984.0,2968.0,Z
2.25,1.71,1.7000000000000002,3.2400000000000007,3.04,6348.0,13524.0,6300.0,1940.0,2066.0,3013.0,Z
2.24,1.6200000000000003,1.71,3.25,3.03,6396.0,12904.0,6444.0,1968.0,2188.0,3133.0,Z
2.25,1.7399999999999998,1.71,3.25,3.06,6360.0,12660.0,6476.0,1887.0,2042.0,3151.0,Z
2.23,1.73,1.7399999999999998,3.2099999999999995,3.07,6356.0,12468.0,6696.0,2106.0,2598.0,3265.0,Z
2.23,1.71,1.7500000000000002,3.19,3.05,5864.0,12420.0,6412.0,2178.0,2743.0,3386.0,Z
2.26,1.7000000000000002,1.72,3.2199999999999998,3.03,5392.0,11888.0,6880.0,2215.0,3118.0,3455.0,Z
2.29,1.72,1.66,3.2400000000000007,3.04,5324.0,11436.0,6960.0,2227.0,3959.0,3414.0,Z
2.26,1.71,1.7000000000000002,3.2400000000000007,3.04,5364.0,11128.0,7276.0,2550.0,5510.0,3639.0,Z
2.2,1.7399999999999998,1.66,3.2,3.03,5524.0,12176.0,6592.0,3203.0,5861.0,4125.0,Z
2.26,1.63,1.72,3.2400000000000007,3.05,5952.0,13060.0,6428.0,3233.0,3951.0,4482.0,Z
2.23,1.68,1.72,3.07,3.07,6452.0,13732.0,6404.0,4107.0,5337.0,5289.0,Z
2.25,1.73,1.69,3.2400000000000007,3.06,6460.0,13832.0,5984.0,5019.0,6403.0,6001.0,Z
2.23,1.6500000000000001,1.7399999999999998,3.2300000000000004,2.99,6476.0,13628.0,5856.0,5380.0,6867.0,6364.0,Z
2.18,1.7000000000000002,1.67,3.19,3.03,6896.0,13312.0,5476.0,5700.0,7005.0,6774.0,Z
2.25,1.71,1.7000000000000002,3.25,3.03,7620.0,14008.0,5292.0,5551.0,5999.0,6748.0,Z
2.22,1.73,1.69,3.2400000000000007,3.04,8552.0,14384.0,4812.0,5452.0,4943.0,6722.0,Z
2.19,1.7000000000000002,1.6500000000000001,3.25,3.03,9140.0,14884.0,4388.0,5836.0,5295.0,6676.0,Z
2.19,1.7399999999999998,1.73,3.2,3.04,9728.0,14944.0,4328.0,6113.0,6157.0,6654.0,Z
2.23,1.73,1.66,3.2400000000000007,3.05,9944.0,14696.0,4360.0,5984.0,5919.0,6296.0,Z
2.23,1.7399999999999998,1.7500000000000002,3.25,3.03,10412.0,14120.0,5052.0,5517.0,5236.0,6071.0,Z
2.22,1.73,1.68,3.25,2.83,10288.0,14032.0,4900.0,4870.0,4844.0,6259.0,Z
2.25,1.7399999999999998,1.79,3.2400000000000007,3.07,11460.0,13188.0,4188.0,3155.0,7.0,5695.0,Z
2.23,1.72,1.76,3.2199999999999998,3.06,11712.0,12844.0,3496.0,4458.0,2031.0,6912.0,Z
2.23,1.7399999999999998,1.71,3.06,3.03,11116.0,13272.0,2252.0,4068.0,-477.0,6217.0,Z
2.24,1.69,1.7500000000000002,3.16,3.05,10796.0,12980.0,2960.0,5998.0,3741.0,5789.0,Z
2.23,1.67,1.7500000000000002,3.25,3.05,10824.0,12984.0,1744.0,5989.0,3746.0,4703.0,Z
2.23,1.72,1.76,3.2199999999999998,3.01,11404.0,12580.0,2352.0,6199.0,4274.0,4205.0,Z
2.22,1.7500000000000002,1.76,3.2,3.03,11760.0,13108.0,2340.0,5802.0,3719.0,3971.0,Z
2.25,1.78,1.7399999999999998,3.2400000000000007,3.0,12260.0,13400.0,2940.0,4910.0,3717.0,3943.0,Z
2.23,1.71,1.72,3.2400000000000007,3.05,12368.0,13632.0,2604.0,4130.0,3696.0,4232.0,Z
2.25,1.7399999999999998,1.78,3.2300000000000004,3.05,11584.0,14012.0,2980.0,3680.0,4331.0,4332.0,Z
2.24,1.7000000000000002,1.7000000000000002,3.2400000000000007,3.06,11008.0,14276.0,1688.0,3115.0,3802.0,3922.0,Z
2.24,1.73,1.68,3.2300000000000004,3.0,11988.0,13624.0,1848.0,2742.0,2865.0,3318.0,Z
2.24,1.72,1.72,3.26,3.01,12304.0,13404.0,952.0,3224.0,4129.0,3329.0,Z
2.2,1.72,1.7500000000000002,3.25,3.05,13024.0,13412.0,984.0,2869.0,4560.0,2809.0,Z
2.23,1.7500000000000002,1.7500000000000002,3.25,3.07,12828.0,13788.0,1180.0,2754.0,4988.0,2454.0,Z
2.23,1.72,1.7500000000000002,3.2400000000000007,3.0,12784.0,14028.0,1320.0,1964.0,4514.0,1753.0,Z
2.22,1.7500000000000002,1.76,3.12,3.06,12592.0,14276.0,1580.0,1672.0,4426.0,1306.0,Z
2.25,1.7500000000000002,1.76,3.2300000000000004,3.02,12496.0,13608.0,1276.0,1077.0,3170.0,666.0,Z
2.28,1.66,1.73,3.2400000000000007,3.04,12956.0,13188.0,1512.0,876.0,2200.0,514.0,Z
2.23,1.7500000000000002,1.7500000000000002,3.2400000000000007,3.05,12980.0,12932.0,1392.0,777.0,1643.0,707.0,Z
2.23,1.76,1.7500000000000002,3.2300000000000004,3.01,12488.0,12828.0,904.0,317.0,453.0,516.0,Z
2.21,1.72,1.72,3.25,3.07,12728.0,12928.0,940.0,161.0,476.0,67.0,Z
2.25,1.76,1.66,3.2400000000000007,3.0,13012.0,12828.0,796.0,64.0,1081.0,-149.0,Z
2.23,1.7399999999999998,1.7500000000000002,3.26,3.06,12840.0,12800.0,728.0,-396.0,869.0,-507.0,Z
2.26,1.6099999999999999,1.76,3.26,3.0,12900.0,12592.0,320.0,-828.0,784.0,-809.0,Z
2.19,1.73,1.77,3.16,2.87,13116.0,12344.0,388.0,-1496.0,-395.0,-1085.0,Z
2.25,1.76,1.73,3.26,3.05,12964.0,12196.0,500.0,-2113.0,-603.0,-1170.0,Z
2.25,1.76,1.7500000000000002,3.3000000000000003,3.07,12920.0,12432.0,208.0,-2568.0,-775.0,-1587.0,Z
