flex_1,flex_2,flex_3,flex_4,flex_5,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,label
2.9,1.97,2.01,2.31,3.18,6024.0,13884.0,452.0,-3877.0,1129.0,2449.0,J
2.93,2.02,2.02,2.3,3.19,6312.0,13080.0,832.0,-4236.0,898.0,2385.0,J
2.94,2.0,2.0,2.18,3.17,6192.0,12284.0,1452.0,-4829.0,922.0,2469.0,J
2.94,2.04,2.01,2.28,3.2,6384.0,12880.0,1548.0,-5247.0,1789.0,2833.0,J
2.86,2.02,2.01,2.28,3.18,6032.0,13852.0,1316.0,-5790.0,2028.0,2823.0,J
2.95,1.95,2.01,2.31,3.2099999999999995,6448.0,14604.0,1760.0,-6031.0,2659.0,2720.0,J
2.94,2.04,2.0,2.3,3.2099999999999995,6244.0,14960.0,1896.0,-5435.0,4868.0,2861.0,J
2.93,2.0,1.91,2.29,3.2300000000000004,6364.0,14524.0,1712.0,-5092.0,5704.0,2913.0,J
2.88,2.03,2.01,2.27,3.2099999999999995,6036.0,13896.0,1676.0,-5133.0,6132.0,3718.0,J
2.88,2.03,1.97,2.3,3.2099999999999995,6640.0,13072.0,2148.0,-5272.0,5695.0,3866.0,J
2.94,2.04,1.9900000000000002,2.31,3.2199999999999998,6760.0,12360.0,1524.0,-4966.0,5948.0,4996.0,J
2.96,2.0,2.0,2.3,3.2,6800.0,12964.0,1064.0,-4563.0,4403.0,5626.0,J
2.92,2.04,1.9799999999999998,2.27,3.16,6860.0,13804.0,1452.0,-3522.0,2931.0,5899.0,J
2.94,1.9900000000000002,1.96,2.28,3.2099999999999995,7484.0,14856.0,1584.0,-3581.0,825.0,5811.0,J
2.93,2.03,1.9900000000000002,2.31,3.2199999999999998,8212.0,14948.0,1664.0,-4129.0,208.0,5469.0,J
2.96,2.03,2.0,2.3,3.2,9532.0,14072.0,2024.0,-4563.0,875.0,5585.0,J
2.88,1.97,2.02,2.31,3.17,9884.0,13112.0,2996.0,-3878.0,3922.0,5874.0,J
2.97,2.0,2.01,2.31,3.2,8948.0,12992.0,3128.0,-3535.0,5807.0,6409.0,J
2.93,1.9799999999999998,1.9900000000000002,2.31,3.2,9376.0,13552.0,3476.0,-4921.0,4748.0,5725.0,J
2.95,2.08,2.01,2.24,3.19,10188.0,13756.0,3808.0,-5632.0,5138.0,5785.0,J
2.91,2.04,2.0,2.3,3.2099999999999995,10512.0,14828.0,3216.0,-5805.0,4982.0,6088.0,J
3.0,2.05,2.02,2.3,3.2199999999999998,10172.0,16048.0,2804.0,-6857.0,3367.0,5766.0,J
2.9,2.03,1.91,2.3,3.16,10256.0,15880.0,2500.0,-7548.0,1783.0,5014.0,J
2.96,1.9900000000000002,1.9799999999999998,2.27,3.2099999999999995,10484.0,15224.0,2664.0,-8360.0,674.0,4091.0,J
2.99,2.05,2.0,2.23,3.17,11104.0,14616.0,4072.0,-8846.0,854.0,3631.0,J
2.94,2.05,2.01,2.29,3.1300000000000003,11768.0,14312.0,4816.0,-9096.0,1191.0,3614.0,J
2.88,2.05,2.01,2.3,3.2300000000000004,12368.0,14224.0,5440.0,-9340.0,1223.0,4070.0,J
2.93,2.04,2.0,2.29,3.2099999999999995,12168.0,14692.0,4780.0,-9477.0,358.0,4754.0,J
2.94,1.95,2.02,2.3,3.2,11588.0,15372.0,4120.0,-9604.0,-1748.0,4852.0,J
2.91,2.05,1.9900000000000002,2.29,3.2,11616.0,15948.0,4056.0,-9428.0,-2987.0,4395.0,J
2.94,2.03,1.97,2.3,3.15,11836.0,15720.0,4616.0,-9793.0,-4093.0,3675.0,J
2.89,1.9900000000000002,2.01,2.26,3.2400000000000007,11472.0,15476.0,5040.0,-10145.0,-3512.0,3025.0,J
2.93,2.04,1.9799999999999998,2.3,3.16,11724.0,14840.0,5332.0,-10198.0,-3642.0,2203.0,J
2.9,2.03,2.01,2.3,3.2400000000000007,12384.0,14120.0,5904.0,-9924.0,-2279.0,2276.0,J
3.02,1.9799999999999998,1.9799999999999998,2.28,3.17,12944.0,14108.0,6720.0,-9937.0,259.0,3751.0,J
2.95,1.92,2.01,2.31,3.2,11144.0,14112.0,5568.0,-9272.0,1770.0,5187.0,J
2.95,2.02,2.01,2.31,3.2,9424.0,14332.0,4696.0,-8707.0,-1846.0,4982.0,J
2.88,2.02,2.01,2.31,3.2199999999999998,9736.0,14212.0,5156.0,-8670.0,-5441.0,4186.0,J
2.91,2.03,2.02,2.3,3.19,10600.0,13912.0,5960.0,-8244.0,-5442.0,4168.0,J
2.91,2.02,1.9900000000000002,2.29,3.2,11216.0,13952.0,6236.0,-8167.0,-4839.0,4004.0,J
2.98,1.96,1.96,2.3,3.19,11088.0,13936.0,6020.0,-8024.0,-5438.0,3518.0,J
2.96,1.97,1.9799999999999998,2.31,3.2099999999999995,11912.0,14072.0,6476.0,-8391.0,-7128.0,2693.0,J
2.7,2.02,1.96,2.32,3.2,12936.0,13748.0,7256.0,-8776.0,-7497.0,2388.0,J
2.88,2.01,2.01,2.31,3.2099999999999995,12976.0,13728.0,7184.0,-8473.0,-6677.0,2231.0,J
2.91,2.01,2.03,2.3,3.2,11992.0,13836.0,7024.0,-7462.0,-7040.0,1656.0,J
2.91,2.02,2.01,2.28,3.2099999999999995,11868.0,13852.0,7128.0,-7375.0,-9011.0,150.0,J
2.94,1.9299999999999997,2.01,2.31,3.19,12836.0,13688.0,7648.0,-6853.0,-9393.0,-1034.0,J
2.95,2.01,2.01,2.31,3.2,13472.0,13408.0,8148.0,-6144.0,-8581.0,-1726.0,J
3.02,1.9799999999999998,1.9900000000000002,2.17,3.2199999999999998,13580.0,13788.0,8196.0,-5727.0,-8963.0,-2500.0,J
3.09,2.02,2.01,2.29,3.18,13284.0,13792.0,8004.0,-5526.0,-9819.0,-3201.0,J
2.89,1.97,1.9799999999999998,2.3,3.2,13512.0,14292.0,8332.0,-4830.0,-10415.0,-4391.0,J
2.95,2.02,1.9799999999999998,2.31,3.2199999999999998,13496.0,14332.0,8464.0,-4166.0,-9859.0,-5288.0,J
2.87,2.01,2.01,2.31,3.2099999999999995,13396.0,13996.0,8228.0,-3234.0,-8983.0,-5961.0,J
2.89,2.02,1.97,2.31,3.16,13436.0,13828.0,8316.0,-1880.0,-8471.0,-6669.0,J
2.92,1.9900000000000002,1.97,2.31,3.2,14076.0,13496.0,8808.0,-713.0,-7958.0,-7282.0,J
2.88,2.02,2.02,2.31,3.2,13952.0,13808.0,9248.0,167.0,-6286.0,-7218.0,J
2.94,1.95,2.02,2.31,3.15,12532.0,14336.0,8812.0,613.0,-6146.0,-7471.0,J
2.9,2.03,2.02,2.31,3.2,11076.0,14156.0,8292.0,1763.0,-5207.0,-8229.0,J
3.03,1.97,2.02,2.31,3.2099999999999995,9984.0,14188.0,8620.0,3407.0,-4849.0,-9288.0,J
2.97,1.9900000000000002,2.03,2.31,3.2,9400.0,14760.0,9240.0,4274.0,-4781.0,-10239.0,J
2.97,1.9900000000000002,2.0,2.31,3.2,9648.0,14516.0,9156.0,4899.0,-5333.0,-10536.0,J
2.98,2.03,2.0,2.3,3.2400000000000007,9632.0,14524.0,8832.0,4953.0,-5891.0,-10551.0,J
2.94,1.92,2.01,2.31,3.2099999999999995,9076.0,14576.0,8268.0,5183.0,-6190.0,-9832.0,J
2.93,1.92,1.96,2.31,3.16,8112.0,14636.0,7440.0,5751.0,-6095.0,-9333.0,J
2.92,2.0,2.03,2.29,3.2099999999999995,7284.0,14592.0,6832.0,6360.0,-6412.0,-9348.0,J
2.97,2.02,2.01,2.3,3.2,7328.0,14628.0,6448.0,6955.0,-6083.0,-9468.0,J
2.89,2.0,1.9900000000000002,2.24,3.15,6956.0,14608.0,6304.0,7221.0,-6218.0,-9293.0,J
2.93,2.01,2.02,2.31,3.2099999999999995,7052.0,14756.0,5656.0,7440.0,-6008.0,-8800.0,J
3.02,2.01,2.01,2.31,3.2300000000000004,6740.0,14880.0,5224.0,7532.0,-5711.0,-8000.0,J
2.93,2.02,1.9900000000000002,2.31,3.17,6436.0,15104.0,4672.0,7594.0,-5444.0,-7423.0,J
2.97,1.94,2.02,2.31,3.2099999999999995,6804.0,14972.0,4120.0,7493.0,-5346.0,-7003.0,J
2.94,2.04,2.02,2.39,3.15,6108.0,14984.0,3884.0,8045.0,-3806.0,-6466.0,J
2.95,1.9799999999999998,2.02,2.31,3.15,6164.0,14916.0,3684.0,7918.0,-3451.0,-6283.0,J
2.91,2.04,2.0,2.31,3.18,6076.0,14636.0,3556.0,8056.0,-2125.0,-5838.0,J
2.97,2.01,2.02,2.31,3.2199999999999998,6176.0,14348.0,3136.0,7828.0,-1226.0,-5602.0,J
2.95,2.03,2.02,2.22,3.19,5888.0,14236.0,3168.0,8096.0,162.0,-5193.0,J
3.02,2.03,2.02,2.25,3.18,5368.0,14196.0,3224.0,8103.0,1476.0,-4957.0,J
2.95,2.03,1.95,2.32,2.98,4920.0,13880.0,3128.0,7685.0,1544.0,-5146.0,J
2.95,2.03,2.03,2.3,3.2300000000000004,4696.0,13832.0,3420.0,7615.0,2309.0,-5318.0,J
2.88,2.03,2.0,2.28,3.11,4844.0,13416.0,3148.0,7395.0,2893.0,-5411.0,J
2.87,2.01,2.01,2.31,3.2099999999999995,4816.0,12988.0,2940.0,7796.0,4589.0,-4976.0,J
2.88,2.03,1.9900000000000002,2.3,3.2,4576.0,12560.0,2500.0,7641.0,5414.0,-4666.0,J
2.98,2.0,1.9799999999999998,2.31,3.17,4428.0,12092.0,1852.0,7912.0,6128.0,-4156.0,J
2.9,2.03,2.01,2.31,3.2099999999999995,3900.0,11724.0,1648.0,7779.0,5701.0,-3590.0,J
2.93,1.9799999999999998,2.01,2.31,3.17,3624.0,11388.0,1132.0,7285.0,4997.0,-3195.0,J
2.97,1.9900000000000002,2.01,2.24,3.2099999999999995,3608.0,10912.0,488.0,6940.0,4191.0,-2493.0,J
2.93,1.97,1.92,2.28,2.98,3672.0,10748.0,-176.0,6089.0,1859.0,-2267.0,J
2.98,2.02,1.9900000000000002,2.22,3.16,4752.0,10196.0,128.0,5964.0,1294.0,-1988.0,J
2.86,2.01,2.01,2.3,3.2,5376.0,10152.0,-764.0,5759.0,1780.0,-1191.0,J
2.98,2.01,2.02,2.31,3.2300000000000004,5148.0,10580.0,-1256.0,4497.0,797.0,-1367.0,J
2.93,2.02,1.9799999999999998,2.3,3.2099999999999995,6260.0,10576.0,-1540.0,3942.0,42.0,-1359.0,J
2.93,2.03,1.96,2.31,3.2099999999999995,6640.0,10764.0,-2164.0,3216.0,-173.0,-1220.0,J
2.91,1.91,1.9900000000000002,2.29,3.2,7236.0,11572.0,-2328.0,1912.0,-839.0,-1468.0,J
2.93,1.9900000000000002,1.9799999999999998,2.3,3.18,7412.0,12100.0,-2560.0,1116.0,340.0,-1554.0,J
2.95,2.0,1.94,2.3,3.2199999999999998,7504.0,12544.0,-2664.0,66.0,1409.0,-1743.0,J
2.97,1.97,2.0,2.31,3.2099999999999995,7464.0,13100.0,-2396.0,-443.0,2763.0,-1721.0,J
2.87,2.01,2.02,2.3,3.2,7284.0,13684.0,-2000.0,-797.0,3657.0,-1400.0,J
2.9,2.03,2.02,2.28,3.16,7000.0,14104.0,-1920.0,-1079.0,4356.0,-1047.0,J
2.98,2.01,2.01,2.3,3.1400000000000006,6672.0,14356.0,-1940.0,-1174.0,5055.0,-520.0,J
3.03,1.9900000000000002,1.9900000000000002,2.31,3.2,6388.0,14556.0,-1840.0,-1598.0,4947.0,-67.0,J
3.04,2.0,2.03,2.31,3.01,5920.0,14952.0,-1688.0,-1533.0,4571.0,387.0,J
2.89,2.04,2.01,2.28,3.2199999999999998,5960.0,15276.0,-1696.0,-1743.0,2596.0,535.0,J
2.98,2.02,2.01,2.31,3.2,6004.0,15240.0,-1172.0,-1950.0,964.0,725.0,J
2.93,1.9900000000000002,2.01,2.28,3.15,6280.0,15060.0,-1052.0,-2227.0,-352.0,894.0,J
2.94,1.92,1.9900000000000002,2.28,3.16,6576.0,15072.0,-804.0,-2295.0,-1048.0,950.0,J
2.95,1.97,2.0,2.31,3.16,6860.0,15280.0,-520.0,-2138.0,-1696.0,885.0,J
2.93,2.01,2.01,2.3,3.2099999999999995,7180.0,15124.0,-236.0,-1866.0,-1809.0,737.0,J
2.97,1.9799999999999998,2.01,2.3,3.15,7240.0,15312.0,-180.0,-1666.0,-1335.0,584.0,J
